psraid,state,community,region,registered,oftvote,vote,sex,age,educ,racethn,marital,parent,income,party
75235,48,S,3,1,1,2,2,63,6,1,1,2,7,1
75236,20,R,2,1,1,1,2,64,6,1,1,2,6,2
75237,31,S,2,1,1,1,2,68,5,1,1,2,7,2
75238,8,U,4,1,4,1,2,35,5,1,3,1,3,3
75239,6,S,4,1,1,2,2,30,6,1,6,2,5,1
75241,8,U,4,2, ,1,1,27,3,1, , , ,3
75242,8,S,4,1,1,1,2,31,6,1,6,2,3,3
75243,8,S,4,2, ,2,1,60,5,1, , , ,1
75245,49,S,4,1,1,1,1,18,3,3,6,2,7,3
75246,16,U,4,1,1,1,1,28,7,1,6,2,6,3
75249,16,R,4,1,2,1,1,27,6,1,6,2,1,3
75250,35,U,4,2, ,9,2,19,4,3, , , ,1
75251,8,U,4,1,2,2,1,52,4,2,3,2,4,3
75253,49,R,4,1,3,2,2,18,5,1,6,2,9,2
75266,6,S,4,2, ,2,1,21,3,3, , , ,1
75270,4,R,4,2, ,1,2,52,3,1, , , ,4
75272,6,S,4,2, ,9,1,19,4,4, , , ,3
75277,6,S,4,2, ,1,1,25,3,1, , , ,3
75283,41,S,4,1,2,2,2,63,3,1,1,2,10,1
75285,6,U,4,1,1,1,2,99,6,1,5,2,10,2
75288,41,R,4,1,3,1,2,48,6,1,3,2,4,2
75292,32,U,4,1,1,1,2,23,4,1,2,2,2,2
75294,6,S,4,1,1,2,1,52,3,1,1,2,9,1
75296,53,S,4,1,1,1,2,56,8,1,2,2,7,2
75301,41,U,4,1,3,1,1,29,4,1,2,1,2,3
75302,6,S,4,2, ,1,2,18,4,1, , , ,1
75304,4,U,4,2, ,1,1,18,3,4, , , ,9
75307,41,R,4,2, ,1,2,57,4,1, , , ,3
75308,41,R,4,1,1,2,1,70,6,1,1,2,9,1
75309,53,S,4,1,1,2,1,52,8,1,1,1,8,1
75310,41,R,4,2, ,1,2,38,3,4, , , ,2
75311,9,U,4,2, ,1,2,21,4,1, , , ,5
75312,6,S,4,1,4,1,1,20,3,4,6,2,3,1
75317,48,R,4,2, ,1,1,21,5,1, , , ,3
75319,4,U,4,1,1,2,1,32,6,2,2,2,6,1
75320,53,S,4,1,3,1,2,99,9,1,2,2,10,5
75322,4,U,4,2, ,1,1,60,4,1, , , ,3
75324,16,R,4,1,1,1,1,65,6,1,1,2,6,2
75326,6,U,4,1,1,3,1,37,6,1,1,1,9,3
75328,6,S,4,1,2,1,2,43,8,3,3,1,9,2
75339,53,U,4,1,1,1,1,30,6,1,1,1,7,3
75341,53,U,4,1,1,1,1,61,4,1,1,2,10,2
75345,6,S,4,2, ,9,2,56,4,1, , , ,4
75346,6,R,4,1,2,1,1,57,4,3,1,2,3,2
75347,6,U,4,1,2,1,1,23,6,1,6,2,2,2
75348,4,U,4,2, ,1,1,25,3,1, , , ,3
75353,41,S,4,1,1,2,1,67,5,1,1,2,5,3
75354,6,U,4,1,1,2,2,64,4,1,1,2,4,1
75360,6,U,4,1,2,1,1,54,4,1,6,2,10,2
75361,53,U,4,2, ,2,2,53,4,1, , , ,3
75362,21,U,3,1,1,1,1,48,7,2,1,2,8,2
75363,51,S,3,1,1,2,1,38,4,4,1,1,10,1
75364,11,U,3,1,4,1,2,21,3,2,6,2,1,3
75365,47,U,2,1,3,2,2,54,6,1,1,2,9,1
75367,21,R,2,2, ,1,1,21,3,1, , , ,5
75370,39,U,2,1,1,1,1,63,4,1,1,2,7,2
75371,25,S,1,1,3,1,1,18,3,3,6,2,3,2
75372,34,S,1,2, ,1,1,26,6,4, , , ,2
75373,25,S,1,1,1,1,2,67,6,2,3,2,5,2
75375,18,U,2,1,1,2,1,55,4,1,1,2,7,3
75377,39,S,2,1,1,1,2,35,3,3,1,1,4,1
75379,12,R,3,1,1,1,2,48,6,3,3,2,4,3
75381,37,U,3,1,2,2,2,32,8,1,1,2,7,1
75386,12,R,3,1,2,1,1,47,3,1,1,2,1,3
75387,39,R,2,1,1,1,1,59,6,3,1,2,9,3
75389,10,S,3,1,1,1,2,57,6,2,6,2,6,2
75390,36,U,1,1,1,2,1,57,3,3,1,2,7,1
75391,47,U,3,1,1,1,1,32,3,3,6,2,9,2
75394,37,U,3,1,3,1,2,41,7,2,6,1,3,2
75395,26,U,2,2, ,1,1,28,5,1, , , ,3
75400,51,U,3,1,1,1,2,41,6,3,1,1,8,3
75401,13,S,3,1,1,2,2,65,4,1,3,2,5,1
75404,12,U,3,2, ,1,2,23,3,2, , , ,2
75411,13,S,3,1,4,1,1,55,2,2,6,2,2,2
75412,12,U,3,1,1,2,2,53,4,1,6,2,3,1
75413,42,U,1,1,1,1,2,58,8,1,1,2,9,2
75414,36,U,1,1,1,1,2,27,7,2,1,1,7,2
75417,18,U,2,1,1,1,1,54,6,1,1,2,7,3
75421,21,U,3,1,4,2,2,28,6,1,1,1,7,1
75427,39,S,2,1,3,1,2,57,6,4,5,2,1,2
75431,13,S,3,1,1,2,1,49,6,1,1,1,6,1
75435,47,R,3,1,4,1,2,30,3,1,3,1,5,2
75438,13,S,3,1,1,2,1,68,4,1,3,2,2,3
75446,24,S,3,1,1,1,1,62,6,2,1,2,9,2
75447,11,U,3,1,1,1,2,54,3,2,3,2,1,2
75448,25,U,1,1,2,2,2,60,6,1,3,2,8,3
75449,51,S,3,1,2,1,1,50,8,1,1,9,10,1
75451,25,U,1,1,2,1,2,47,8,1,1,1,9,2
75452,12,U,1,1,1,1,1,72,6,1,1,2,9,2
75453,34,S,1,1,1,1,1,58,8,1,1,2,9,2
75455,34,S,1,1,1,1,1,32,6,1,2,2,7,2
75457,25,S,1,1,1,1,2,66,6,1,2,2,8,3
75459,12,U,3,1,2,1,2,58,8,2,1,1,9,2
